Li e compreendi que a qualquer momento posso desistir de participar da pesquisa, e ninguém vai ficar com raiva de mim. Os pesquisadores tiraram todas as minhas dúvidas e concodo em responder o formulário.;Qual é o seu gênero?;Qual é o seu curso?;Em qual categoria você se encontra, aproximadamente?;Qual a sua idade, aproximadamente?;Qual seu nível de conhecimento sobre LLMs (ChatGPT, Bard etc.)?;Quais LLMs você utiliza?;Sinto que aprendo o que realmente me interessa no meu curso.;Muitas vezes, fico tão empolgado que perco a noção do tempo quando estou envolvido em um projeto ou atividade acadêmica.;LLMs (ChatGPT, Bard etc.) tornam a programação mais democrática e acessível para as pessoas.;Me sinto confiante com os textos e/ou códigos gerados por LLMs (ChatGPT, Bard etc.).;Nunca me sinto capaz de alcançar meus objetivos acadêmicos.;Utilizo LLMs (ChatGPT, Bard etc.) para tirar dúvidas e preencher lacunas no meu conhecimento sobre programação.;Para mim, aprender sobre programação é um interesse pessoal.;Prefiro programar sem ajuda de LLMs (ChatGPT, Bard etc.).;Me divirto quando aprendo e adquiro novos conhecimentos sobre tecnologia.;As demandas do meu curso me deixam emocionalmente cansado(a).;Acredito que LLMs (ChatGPT, Bard etc.) podem ser melhor exploradas pelos professores nas aulas, atividades e/ou provas.;Gosto de ir em todos as aulas do meu curso.;Sinto que tenho as habilidades necessárias para ir bem em provas de programação.;Não tenho interesse em programação competitiva (ICPC, CodeJam etc.).;Penso que LLMs (ChatGPT, Bard etc.) são muito eficientes em programação.;Tento me envolver em atividades extracurriculares do curso para me destacar.;Tenho dificuldade para relaxar depois das aulas.;Sinto que estou apenas memorizando informações em vez de realmente entender os conteúdos.;Me preocupo que programadores sejam substituídos pelos modelos de inteligência artificial.;Utilizo LLMs (ChatGPT, Bard etc.) para formular e resolver atividades de programação.;Sou pressionado pelas demandas do curso.;Corrijo meus códigos utilizando LLMs (ChatGPT, Bard etc.).;Fico esgotado quando tenho que ir à universidade.;Tenho dificuldade para encontrar erros em respostas e códigos gerados por LLMs (ChatGPT, Bard etc.).;Deixo para estudar para as provas de última hora.;Tenho medo que modelos de inteligência artificial tornem conteúdos que aprendi na faculdade obsoletos.;Tento ir bem nas provas para agradar meus professores.;Utilizo LLMs (ChatGPT, Bard etc.) para planejar meus estudos em programação.;Sinto como se não pudesse acompanhar as mudanças causadas pelos modelos de inteligência artificial.;Sinto tremores ou inquietações no corpo, como nas mãos ou nas pernas.
Concordo.;Masculino.;Ciência de Dados e Inteligência Artificial (Bacharelado).;Estou na primeira metade do curso (entre 25 e 50%).;Tenho entre 20 e 25 anos.;3;ChatGPT 3.5 (gratuito).;4;3;3;5;4;2;5;6;5;5;3;4;4;0;3;1;5;4;2;1;1;0;5;2;5;3;3;0;5;6
Concordo.;Feminino.;Ciência de Dados e Inteligência Artificial (Bacharelado).;Estou na primeira metade do curso (entre 25 e 50%).;Tenho mais do que 25 anos.;2;ChatGPT 3.5 (gratuito).;3;5;4;4;1;2;5;4;4;4;3;0;4;4;5;1;3;3;3;1;3;1;3;3;3;1;1;1;2;3
Concordo.;Masculino.;Ciência de Dados e Inteligência Artificial (Bacharelado).;Estou na primeira metade do curso (entre 25 e 50%).;Tenho entre 20 e 25 anos.;3;ChatGPT 3.5 (gratuito).;6;4;1;4;3;5;4;5;6;2;4;6;4;6;5;3;2;1;0;4;0;1;4;2;4;0;0;1;2;0
Concordo.;Feminino.;Ciência da Computação (Bacharelado).;Estou na primeira metade do curso (entre 25 e 50%).;Tenho menos do que 20 anos.;3;ChatGPT 3.5 (gratuito).;5;6;4;4;1;4;4;4;6;6;2;5;5;5;3;4;4;1;1;3;6;5;3;1;2;1;1;0;4;0
Concordo.;Feminino.;Ciência da Computação (Bacharelado).;Estou na segunda metade do curso (entre 50% e 75%).;Tenho entre 20 e 25 anos.;5;ChatGPT 3.5 (gratuito).;4;3;5;3;2;5;5;3;5;4;5;4;4;2;4;5;6;1;2;5;5;5;1;2;1;2;4;4;2;6
Concordo.;Feminino.;Engenharia da Computação (Bacharelado).;Estou no início do curso (até 25%).;Tenho mais do que 25 anos.;3;ChatGPT 3.5 (gratuito)., Bing Chat.;2;5;5;3;4;4;4;2;4;6;5;3;3;4;5;1;3;2;1;2;4;4;5;2;1;1;0;2;4;0
Concordo.;Masculino.;Engenharia da Computação (Bacharelado).;Estou na primeira metade do curso (entre 25 e 50%).;Tenho mais do que 25 anos.;3;ChatGPT 3.5 (gratuito).;4;5;6;5;4;5;6;2;4;6;6;3;2;6;5;0;2;6;6;6;6;6;6;6;5;5;3;6;3;4
Concordo.;Masculino.;Engenharia da Computação (Bacharelado).;Estou na primeira metade do curso (entre 25 e 50%).;Tenho entre 20 e 25 anos.;3;ChatGPT 3.5 (gratuito).;4;6;2;2;4;5;6;5;6;6;5;5;4;4;4;4;5;4;1;1;6;4;5;1;4;1;1;1;4;4
Concordo.;Feminino.;Ciência da Computação (Bacharelado).;Estou na primeira metade do curso (entre 25 e 50%).;Tenho entre 20 e 25 anos.;4;ChatGPT 3.5 (gratuito)., Bard.;4;5;5;4;3;6;5;2;6;5;6;4;5;0;5;5;4;3;1;5;4;5;3;2;3;3;5;4;1;2
Concordo.;Masculino.;Engenharia da Computação (Bacharelado).;Estou no início do curso (até 25%).;Tenho menos do que 20 anos.;3;ChatGPT 3.5 (gratuito).;4;4;6;2;2;6;4;4;6;6;4;4;2;2;4;4;6;1;3;2;6;5;4;4;3;4;6;4;2;4
Concordo.;Masculino.;Ciência de Dados e Inteligência Artificial (Bacharelado).;Estou na primeira metade do curso (entre 25 e 50%).;Tenho menos do que 20 anos.;4;ChatGPT 3.5 (gratuito)., Bard.;3;4;5;3;2;5;4;2;6;3;3;4;4;3;4;3;3;2;0;4;3;4;2;2;3;2;0;4;1;1
Concordo.;Masculino.;Engenharia da Computação (Bacharelado).;Estou na primeira metade do curso (entre 25 e 50%).;Tenho entre 20 e 25 anos.;4;ChatGPT 3.5 (gratuito).;2;6;3;4;5;6;4;2;5;6;5;4;3;6;5;4;6;4;2;5;6;5;4;4;1;4;0;5;2;5
Concordo.;Feminino.;Engenharia da Computação (Bacharelado).;Estou no início do curso (até 25%).;Tenho entre 20 e 25 anos.;4;ChatGPT 3.5 (gratuito).;0;4;3;3;4;5;5;0;4;6;5;0;3;2;3;5;0;5;5;4;6;5;2;3;4;1;4;0;2;0
Concordo.;Masculino.;Ciência de Dados e Inteligência Artificial (Bacharelado).;Estou no início do curso (até 25%).;Tenho mais do que 25 anos.;3;ChatGPT 3.5 (gratuito)., Bing Chat.;1;0;6;4;2;5;6;6;6;6;6;1;3;6;6;0;5;3;3;3;5;3;3;3;5;5;0;0;3;0
Concordo.;Feminino.;Ciência de Dados e Inteligência Artificial (Bacharelado).;Estou no início do curso (até 25%).;Tenho menos do que 20 anos.;3;ChatGPT 3.5 (gratuito).;3;4;5;5;4;6;5;1;4;5;3;6;4;3;6;5;6;4;2;3;6;5;6;5;1;1;6;2;2;5
Concordo.;Masculino.;Ciência de Dados e Inteligência Artificial (Bacharelado).;Estou na segunda metade do curso (entre 50% e 75%).;Tenho entre 20 e 25 anos.;4;ChatGPT 3.5 (gratuito)., Bing Chat.;2;4;6;2;2;6;3;2;4;4;4;3;4;4;4;0;0;4;0;4;2;2;2;0;2;0;3;3;0;0
